id,name,description
1,Electronics,Cutting-edge gadgets and devices for entertainment communication and productivity
2,Clothing and Apparel,Fashionable clothing and accessories for all ages and styles
3,Home and Kitchen Appliances,Innovative appliances to enhance daily living and cooking experiences
4,Beauty and Personal Care,Products for skincare haircare makeup and personal grooming needs
5,Sports and Outdoors,Gear and equipment for various sports and outdoor activities
6,Toys and Games,Entertaining and educational toys and games for children of all ages
7,Books and Media,Books movies music and digital content for leisure and learning
8,Jewelry and Accessories,Stylish accessories including jewelry watches and handbags
9,Health and Wellness Products,Supplements vitamins and wellness products to support a healthy lifestyle
10,Home Decor and Furniture,Decorative items furniture and furnishings to personalize living spaces
